facture_id;client_id;date_facture;date_echeance;montant_ht_eur;montant_ttc_eur;tva_eur;statut_paiement;delai_paiement_jours;mode_paiement
FAC-000032;CLI-097400;2023-06-11;2023-07-11;112.11;134.53;22.42;En attente;;Prélèvement
FAC-000033;CLI-097987;2022-12-27;2023-01-26;279.55;335.46;55.91;En attente;;Prélèvement
FAC-000034;CLI-091921;2023-05-03;2023-06-02;19726.97;23672.36;3945.39;En retard;53.0;Prélèvement
FAC-000035;CLI-090418;2023-12-31;2024-01-30;214.82;257.78;42.96;Payée;21.0;Virement
FAC-000036;CLI-098501;2024-09-01;2024-10-01;116.02;139.22;23.2;Payée;13.0;Virement
FAC-000037;CLI-089761;2025-02-25;2025-03-27;892.98;1071.58;178.6;Payée;10.0;CB en ligne
FAC-000038;CLI-094998;2022-03-15;2022-04-14;72.45;86.94;14.49;Payée;18.0;Virement
FAC-000039;CLI-099880;2022-11-08;2022-12-08;142.99;171.59;28.6;Impayée;258.0;Virement
FAC-000040;CLI-093247;2022-01-31;2022-03-02;358.85;430.62;71.77;Payée;32.0;TIP
FAC-000041;CLI-088094;2024-10-17;2024-11-16;107.65;129.18;21.53;Payée;10.0;TIP
FAC-000042;CLI-098671;2025-05-30;2025-06-29;260.62;312.74;52.12;Payée;31.0;CB en ligne
FAC-000043;CLI-091899;2023-03-20;2023-04-19;71.4;85.68;14.28;En attente;;Virement
FAC-000044;CLI-093994;2023-09-03;2023-10-03;113.93;136.72;22.79;Impayée;259.0;Chèque
FAC-000045;CLI-086145;2025-03-08;2025-04-07;262.05;314.46;52.41;En attente;;Virement
FAC-000046;CLI-100349;2023-04-21;2023-05-21;76.91;92.29;15.38;Impayée;129.0;Prélèvement
FAC-000047;CLI-096202;2024-11-27;2024-12-27;263.64;316.37;52.73;Payée;6.0;TIP
FAC-000048;CLI-098220;2023-04-29;2023-05-29;53.5;64.2;10.7;En attente;;Virement
FAC-000049;CLI-100968;2024-07-28;2024-08-27;95.46;114.55;19.09;Payée;34.0;Prélèvement
FAC-000050;CLI-092399;2025-01-24;2025-02-23;388.59;466.31;77.72;Impayée;122.0;Prélèvement
FAC-000051;CLI-087691;2024-03-04;2024-04-03;83.27;99.92;16.65;Payée;27.0;Prélèvement
FAC-000052;CLI-097096;2022-09-05;2022-10-05;147.23;176.68;29.45;Payée;19.0;Virement
FAC-000053;CLI-100468;2024-01-12;2024-02-11;73.23;87.88;14.65;Impayée;189.0;Prélèvement
FAC-000054;CLI-089083;2022-07-31;2022-08-30;50.78;60.94;10.16;Payée;6.0;Prélèvement
FAC-000055;CLI-098208;2023-11-13;2023-12-13;77.34;92.81;15.47;Payée;24.0;Prélèvement
FAC-000056;CLI-091361;2024-04-24;2024-05-24;269.8;323.76;53.96;Payée;3.0;Prélèvement
FAC-000057;CLI-094378;2022-10-31;2022-11-30;257.15;308.58;51.43;Payée;13.0;Prélèvement
FAC-000058;CLI-090665;2024-02-28;2024-03-29;201.36;241.63;40.27;Impayée;172.0;Prélèvement
FAC-000059;CLI-088820;2023-08-12;2023-09-11;5042.36;6050.83;1008.47;Payée;17.0;Prélèvement
FAC-000060;CLI-089799;2025-02-23;2025-03-25;86.93;104.32;17.39;En retard;56.0;Prélèvement
FAC-000061;CLI-089328;2025-05-27;2025-06-26;51.18;61.42;10.24;En attente;;CB en ligne
FAC-000062;CLI-094807;2022-06-05;2022-07-05;1439.74;1727.69;287.95;En retard;45.0;CB en ligne
FAC-000063;CLI-096787;2024-01-07;2024-02-06;273.64;328.37;54.73;Impayée;353.0;Chèque
FAC-000064;CLI-091759;2024-09-17;2024-10-17;71.79;86.15;14.36;En attente;;Prélèvement
FAC-000065;CLI-087331;2023-06-07;2023-07-07;65.46;78.55;13.09;En retard;83.0;TIP
FAC-000066;CLI-091653;2022-12-17;2023-01-16;267.21;320.65;53.44;Payée;8.0;Prélèvement
FAC-000067;CLI-088525;2023-04-11;2023-05-11;221.79;266.15;44.36;Payée;6.0;Prélèvement
FAC-000068;CLI-100206;2023-08-05;2023-09-04;97.61;117.13;19.52;Payée;21.0;Prélèvement
FAC-000069;CLI-099235;2024-02-12;2024-03-13;1518.27;1821.92;303.65;Payée;16.0;Prélèvement
FAC-000070;CLI-092560;2024-01-11;2024-02-10;215.04;258.05;43.01;Payée;21.0;Virement
FAC-000071;CLI-100080;2022-03-06;2022-04-05;39.55;47.46;7.91;Payée;13.0;Prélèvement
FAC-000072;CLI-095479;2022-12-30;2023-01-29;103.68;124.42;20.74;En attente;;Virement
FAC-000073;CLI-092308;2024-03-03;2024-04-02;214.25;257.1;42.85;Payée;5.0;TIP
FAC-000074;CLI-088332;2022-08-27;2022-09-26;40.38;48.46;8.08;Payée;8.0;Virement
FAC-000075;CLI-093996;2022-04-05;2022-05-05;176.01;211.21;35.2;Payée;13.0;Virement
FAC-000076;CLI-086447;2022-06-19;2022-07-19;1236.15;1483.38;247.23;Payée;4.0;CB en ligne
FAC-000077;CLI-088800;2024-12-07;2025-01-06;621.0;745.2;124.2;En attente;;CB en ligne
FAC-000078;CLI-097472;2023-02-14;2023-03-16;5925.22;7110.26;1185.04;Payée;13.0;TIP
FAC-000079;CLI-088281;2023-12-17;2024-01-16;249.49;299.39;49.9;Payée;3.0;Chèque
FAC-000080;CLI-092803;2023-12-14;2024-01-13;108.34;130.01;21.67;En attente;;Prélèvement
FAC-000081;CLI-099135;2023-10-14;2023-11-13;7893.44;9472.13;1578.69;En attente;;Prélèvement
FAC-000082;CLI-090624;2023-06-27;2023-07-27;3362.11;4034.53;672.42;Payée;18.0;Prélèvement
FAC-000083;CLI-086423;2022-08-20;2022-09-19;152.67;183.2;30.53;En retard;84.0;Virement
FAC-000084;CLI-086021;2023-04-09;2023-05-09;255.29;306.35;51.06;Payée;21.0;CB en ligne
FAC-000085;CLI-099199;2023-08-17;2023-09-16;174.33;209.2;34.87;En retard;70.0;Prélèvement
FAC-000086;CLI-088615;2022-06-16;2022-07-16;275.28;330.34;55.06;Impayée;152.0;Prélèvement
FAC-000087;CLI-087730;2025-03-07;2025-04-06;111.92;134.3;22.38;Impayée;229.0;Prélèvement
FAC-000088;CLI-098651;2022-04-24;2022-05-24;212.26;254.71;42.45;Payée;4.0;CB en ligne
FAC-000089;CLI-096946;2022-08-02;2022-09-01;49.97;59.96;9.99;En attente;;Prélèvement
FAC-000090;CLI-091588;2023-12-13;2024-01-12;7018.15;8421.78;1403.63;En attente;;Prélèvement
FAC-000091;CLI-094403;2022-05-21;2022-06-20;196.16;235.39;39.23;Payée;6.0;Prélèvement
FAC-000092;CLI-093009;2024-07-10;2024-08-09;133.58;160.3;26.72;En attente;;Chèque
FAC-000093;CLI-099075;2023-07-15;2023-08-14;40.87;49.04;8.17;En attente;;CB en ligne
FAC-000094;CLI-099705;2022-05-11;2022-06-10;194.75;233.7;38.95;Payée;8.0;CB en ligne
FAC-000095;CLI-089563;2022-06-14;2022-07-14;101.89;122.27;20.38;Payée;19.0;CB en ligne
FAC-000096;CLI-096309;2022-06-17;2022-07-17;105.55;126.66;21.11;En retard;73.0;Prélèvement
FAC-000097;CLI-093791;2024-04-30;2024-05-30;277.85;333.42;55.57;Payée;25.0;Prélèvement
FAC-000098;CLI-091841;2023-09-18;2023-10-18;149.45;179.34;29.89;Payée;29.0;Virement
FAC-000099;CLI-091795;2022-05-30;2022-06-29;723.05;867.66;144.61;Payée;34.0;Prélèvement
FAC-000100;CLI-095478;2022-11-08;2022-12-08;78.1;93.72;15.62;Payée;5.0;TIP
FAC-000101;CLI-091655;2024-01-10;2024-02-09;93.62;112.34;18.72;En retard;83.0;Prélèvement
FAC-000102;CLI-091106;2025-02-03;2025-03-05;259.29;311.15;51.86;Impayée;110.0;Virement
FAC-000103;CLI-093802;2023-03-24;2023-04-23;6911.45;8293.74;1382.29;En retard;83.0;TIP
FAC-000104;CLI-096354;2025-02-20;2025-03-22;89.93;107.92;17.99;Impayée;306.0;CB en ligne
FAC-000105;CLI-100121;2024-05-28;2024-06-27;72.6;87.12;14.52;Payée;14.0;Prélèvement
FAC-000106;CLI-088830;2024-11-25;2024-12-25;197.21;236.65;39.44;Payée;14.0;Virement
FAC-000107;CLI-098486;2023-10-09;2023-11-08;223.27;267.92;44.65;Payée;17.0;Chèque
FAC-000108;CLI-096610;2023-12-12;2024-01-11;45.33;54.4;9.07;Payée;21.0;Prélèvement
FAC-000109;CLI-096926;2023-10-31;2023-11-30;715.33;858.4;143.07;Impayée;90.0;Virement
FAC-000110;CLI-092936;2023-01-07;2023-02-06;93.59;112.31;18.72;En retard;64.0;TIP
FAC-000111;CLI-093361;2022-03-23;2022-04-22;37.35;44.82;7.47;Impayée;163.0;CB en ligne
FAC-000112;CLI-090871;2023-12-02;2024-01-01;252.62;303.14;50.52;Impayée;282.0;Prélèvement
FAC-000113;CLI-088682;2022-10-04;2022-11-03;116.38;139.66;23.28;En retard;63.0;Prélèvement
FAC-000114;CLI-095711;2023-09-23;2023-10-23;774.2;929.04;154.84;En attente;;CB en ligne
FAC-000115;CLI-095773;2022-08-04;2022-09-03;120.38;144.46;24.08;Payée;32.0;Prélèvement
FAC-000116;CLI-100555;2024-06-14;2024-07-14;254.16;304.99;50.83;Payée;27.0;Virement
FAC-000117;CLI-100733;2024-04-26;2024-05-26;55.98;67.18;11.2;Payée;10.0;Virement
FAC-000118;CLI-096251;2023-02-15;2023-03-17;69.37;83.24;13.87;Payée;8.0;Prélèvement
FAC-000119;CLI-095797;2024-07-06;2024-08-05;224.06;268.87;44.81;En retard;47.0;Prélèvement
FAC-000120;CLI-100534;2022-09-15;2022-10-15;462.57;555.08;92.51;En attente;;Prélèvement
FAC-000121;CLI-086997;2024-01-31;2024-03-01;229.68;275.62;45.94;Impayée;139.0;Virement
FAC-000122;CLI-090342;2024-03-08;2024-04-07;1461.49;1753.79;292.3;En retard;38.0;Prélèvement
FAC-000123;CLI-087494;2025-04-07;2025-05-07;135.67;162.8;27.13;Payée;13.0;CB en ligne
FAC-000124;CLI-094938;2024-09-19;2024-10-19;235.4;282.48;47.08;Payée;33.0;TIP
FAC-000125;CLI-091507;2022-12-11;2023-01-10;152.65;183.18;30.53;Payée;7.0;Prélèvement
FAC-000126;CLI-094718;2023-08-02;2023-09-01;680.14;816.17;136.03;Payée;15.0;Prélèvement
FAC-000127;CLI-088875;2023-06-22;2023-07-22;91.32;109.58;18.26;Payée;27.0;Chèque
FAC-000128;CLI-100153;2024-03-18;2024-04-17;259.69;311.63;51.94;Payée;30.0;Chèque
FAC-000129;CLI-089308;2024-10-09;2024-11-08;219.94;263.93;43.99;Impayée;243.0;Virement
FAC-000130;CLI-099315;2024-10-29;2024-11-28;145.44;174.53;29.09;En retard;76.0;CB en ligne
FAC-000131;CLI-098015;2023-02-07;2023-03-09;87.25;104.7;17.45;En attente;;Prélèvement
FAC-000132;CLI-095870;2023-09-22;2023-10-22;182.76;219.31;36.55;En attente;;Virement
FAC-000133;CLI-090997;2024-04-05;2024-05-05;133.99;160.79;26.8;Payée;8.0;Chèque
FAC-000134;CLI-094610;2023-03-13;2023-04-12;269.09;322.91;53.82;Payée;21.0;CB en ligne
FAC-000135;CLI-098725;2024-05-04;2024-06-03;3681.0;4417.2;736.2;Impayée;312.0;Prélèvement
FAC-000136;CLI-090491;2023-03-09;2023-04-08;207.86;249.43;41.57;Payée;14.0;Prélèvement
FAC-000137;CLI-095435;2022-04-07;2022-05-07;58.84;70.61;11.77;En attente;;Prélèvement
FAC-000138;CLI-097947;2024-09-23;2024-10-23;52.81;63.37;10.56;Impayée;119.0;CB en ligne
FAC-000139;CLI-086442;2022-05-27;2022-06-26;255.61;306.73;51.12;Payée;25.0;Prélèvement
FAC-000140;CLI-090780;2022-11-16;2022-12-16;83.71;100.45;16.74;Payée;20.0;TIP
FAC-000141;CLI-096097;2025-03-08;2025-04-07;540.17;648.2;108.03;Impayée;148.0;Virement
FAC-000142;CLI-091365;2022-07-23;2022-08-22;11388.94;13666.73;2277.79;Payée;18.0;Prélèvement
FAC-000143;CLI-098942;2022-01-16;2022-02-15;272.6;327.12;54.52;Payée;24.0;Prélèvement
FAC-000144;CLI-093728;2022-12-09;2023-01-08;7895.12;9474.14;1579.02;Payée;19.0;Prélèvement
FAC-000145;CLI-099490;2023-07-04;2023-08-03;1028.49;1234.19;205.7;Payée;7.0;CB en ligne
FAC-000146;CLI-088470;2022-01-28;2022-02-27;229.85;275.82;45.97;Payée;3.0;Prélèvement
FAC-000147;CLI-091413;2024-10-12;2024-11-11;181.57;217.88;36.31;En attente;;Virement
FAC-000148;CLI-091326;2023-08-31;2023-09-30;235.98;283.18;47.2;En retard;42.0;Prélèvement
FAC-000149;CLI-091693;2023-12-04;2024-01-03;203.01;243.61;40.6;Impayée;213.0;Prélèvement
FAC-000150;CLI-090596;2023-12-22;2024-01-21;1311.35;1573.62;262.27;Payée;12.0;Prélèvement
FAC-000151;CLI-088849;2022-11-24;2022-12-24;165.58;198.7;33.12;Impayée;343.0;Prélèvement
FAC-000152;CLI-087257;2024-02-13;2024-03-14;69.22;83.06;13.84;Impayée;176.0;Prélèvement
FAC-000153;CLI-087180;2024-08-21;2024-09-20;24389.07;29266.88;4877.81;Payée;25.0;CB en ligne
FAC-000154;CLI-088874;2023-08-25;2023-09-24;680.9;817.08;136.18;En attente;;Prélèvement
FAC-000155;CLI-093300;2022-10-07;2022-11-06;228.66;274.39;45.73;Impayée;272.0;Prélèvement
FAC-000156;CLI-096861;2025-04-21;2025-05-21;252.17;302.6;50.43;Payée;19.0;Prélèvement
FAC-000157;CLI-087164;2023-07-30;2023-08-29;251.26;301.51;50.25;Impayée;218.0;Prélèvement
FAC-000158;CLI-098136;2022-06-04;2022-07-04;516.2;619.44;103.24;Payée;26.0;Prélèvement
FAC-000159;CLI-090558;2023-11-05;2023-12-05;5304.57;6365.48;1060.91;Payée;23.0;Virement
FAC-000160;CLI-093489;2025-02-24;2025-03-26;874.14;1048.97;174.83;Payée;33.0;Prélèvement
FAC-000161;CLI-092760;2023-09-22;2023-10-22;191.93;230.32;38.39;Payée;15.0;Prélèvement
FAC-000162;CLI-089827;2023-12-29;2024-01-28;216.26;259.51;43.25;Payée;18.0;Virement
FAC-000163;CLI-097140;2022-02-11;2022-03-13;393.5;472.2;78.7;En retard;51.0;Chèque
FAC-000164;CLI-086875;2022-05-15;2022-06-14;270.33;324.4;54.07;Payée;5.0;Chèque
FAC-000165;CLI-087858;2022-11-24;2022-12-24;1142.0;1370.4;228.4;En attente;;TIP
FAC-000166;CLI-087367;2023-10-14;2023-11-13;7939.02;9526.82;1587.8;Payée;34.0;Chèque
FAC-000167;CLI-093027;2025-05-24;2025-06-23;17512.95;21015.54;3502.59;En attente;;Virement
FAC-000168;CLI-092536;2022-03-05;2022-04-04;151.84;182.21;30.37;Impayée;103.0;Prélèvement
FAC-000169;CLI-094180;2025-05-02;2025-06-01;174.98;209.98;35.0;En attente;;CB en ligne
FAC-000170;CLI-091405;2025-01-17;2025-02-16;355.57;426.68;71.11;Payée;20.0;CB en ligne
FAC-000171;CLI-098228;2023-04-18;2023-05-18;82.7;99.24;16.54;Payée;2.0;Prélèvement
FAC-000172;CLI-091988;2024-02-13;2024-03-14;261.83;314.2;52.37;En retard;82.0;Chèque
FAC-000173;CLI-095397;2023-08-20;2023-09-19;55.43;66.52;11.09;Payée;7.0;Prélèvement
FAC-000174;CLI-089132;2023-09-02;2023-10-02;7471.55;8965.86;1494.31;Payée;11.0;CB en ligne
FAC-000175;CLI-090894;2024-08-28;2024-09-27;168.11;201.73;33.62;Payée;10.0;Virement
FAC-000176;CLI-091298;2022-04-12;2022-05-12;91.16;109.39;18.23;En retard;83.0;Prélèvement
FAC-000177;CLI-092408;2022-09-04;2022-10-04;149.51;179.41;29.9;Payée;12.0;Prélèvement
FAC-000178;CLI-097546;2024-05-22;2024-06-21;203.66;244.39;40.73;Payée;19.0;Prélèvement
FAC-000179;CLI-100013;2023-06-07;2023-07-07;1193.7;1432.44;238.74;En retard;55.0;Prélèvement
FAC-000180;CLI-097743;2023-01-12;2023-02-11;13336.57;16003.88;2667.31;En attente;;Prélèvement
FAC-000181;CLI-094806;2023-05-19;2023-06-18;66.67;80.0;13.33;Impayée;309.0;Virement
FAC-000182;CLI-096583;2025-02-24;2025-03-26;85.7;102.84;17.14;En retard;37.0;CB en ligne
FAC-000183;CLI-096344;2022-09-06;2022-10-06;7361.41;8833.69;1472.28;Payée;22.0;Virement
FAC-000184;CLI-099157;2023-12-09;2024-01-08;247.11;296.53;49.42;En retard;80.0;Prélèvement
FAC-000185;CLI-097082;2022-02-03;2022-03-05;94.23;113.08;18.85;Payée;22.0;CB en ligne
FAC-000186;CLI-095504;2024-06-12;2024-07-12;63.81;76.57;12.76;Payée;27.0;Prélèvement
FAC-000187;CLI-096462;2023-11-26;2023-12-26;4895.56;5874.67;979.11;En attente;;Prélèvement
FAC-000188;CLI-097638;2022-03-26;2022-04-25;270.25;324.3;54.05;Payée;12.0;Virement
FAC-000189;CLI-086049;2023-12-18;2024-01-17;251.87;302.24;50.37;Payée;2.0;Prélèvement
FAC-000190;CLI-095547;2023-01-29;2023-02-28;216.05;259.26;43.21;En attente;;Prélèvement
FAC-000191;CLI-088963;2023-03-22;2023-04-21;44170.51;53004.61;8834.1;Payée;11.0;CB en ligne
FAC-000192;CLI-092136;2024-11-12;2024-12-12;195.94;235.13;39.19;Payée;8.0;Virement
FAC-000193;CLI-094169;2024-02-20;2024-03-21;249.65;299.58;49.93;Payée;3.0;Prélèvement
FAC-000194;CLI-096728;2023-06-24;2023-07-24;263.8;316.56;52.76;Payée;33.0;Virement
FAC-000195;CLI-100081;2022-08-04;2022-09-03;756.85;908.22;151.37;Payée;3.0;Prélèvement
FAC-000196;CLI-096619;2024-04-17;2024-05-17;72.08;86.5;14.42;Payée;2.0;Prélèvement
FAC-000197;CLI-096413;2023-08-13;2023-09-12;62.56;75.07;12.51;Impayée;319.0;Prélèvement
FAC-000198;CLI-095666;2024-12-26;2025-01-25;82.2;98.64;16.44;En attente;;Prélèvement
FAC-000199;CLI-089572;2024-09-02;2024-10-02;237.38;284.86;47.48;Payée;10.0;Prélèvement
FAC-000200;CLI-094048;2024-11-11;2024-12-11;902.36;1082.83;180.47;Payée;31.0;Prélèvement
FAC-000201;CLI-100787;2023-01-11;2023-02-10;213.6;256.32;42.72;Payée;29.0;Prélèvement
FAC-000202;CLI-089945;2023-02-15;2023-03-17;181.11;217.33;36.22;Impayée;173.0;Prélèvement
FAC-000203;CLI-091386;2024-09-28;2024-10-28;77.49;92.99;15.5;En attente;;Prélèvement
FAC-000204;CLI-093103;2024-11-08;2024-12-08;244.39;293.27;48.88;Payée;29.0;Chèque
FAC-000205;CLI-091060;2023-05-03;2023-06-02;4076.61;4891.93;815.32;Payée;10.0;CB en ligne
FAC-000206;CLI-100307;2024-02-15;2024-03-16;52.36;62.83;10.47;Payée;34.0;Chèque
FAC-000207;CLI-100503;2023-02-22;2023-03-24;277.96;333.55;55.59;En retard;58.0;Prélèvement
FAC-000208;CLI-097720;2023-03-28;2023-04-27;77.87;93.44;15.57;En attente;;Prélèvement
FAC-000209;CLI-094753;2024-11-02;2024-12-02;271.84;326.21;54.37;Payée;12.0;Prélèvement
FAC-000210;CLI-087291;2024-02-03;2024-03-04;188.38;226.06;37.68;En attente;;Prélèvement
FAC-000211;CLI-090167;2023-10-28;2023-11-27;274.09;328.91;54.82;Payée;33.0;Prélèvement
FAC-000212;CLI-086111;2023-02-18;2023-03-20;135.98;163.18;27.2;En attente;;Prélèvement
FAC-000213;CLI-100503;2024-03-27;2024-04-26;145.26;174.31;29.05;En attente;;Prélèvement
FAC-000214;CLI-100740;2025-02-05;2025-03-07;791.92;950.3;158.38;Payée;23.0;Prélèvement
FAC-000215;CLI-087837;2022-08-19;2022-09-18;206.39;247.67;41.28;En attente;;CB en ligne
FAC-000216;CLI-090503;2024-10-01;2024-10-31;76.09;91.31;15.22;Payée;14.0;Virement
FAC-000217;CLI-096136;2025-05-13;2025-06-12;47.8;57.36;9.56;Payée;17.0;Prélèvement
FAC-000218;CLI-100103;2023-04-03;2023-05-03;239.05;286.86;47.81;En attente;;CB en ligne
FAC-000219;CLI-097379;2025-04-01;2025-05-01;36.26;43.51;7.25;Impayée;164.0;Virement
FAC-000220;CLI-100121;2023-12-03;2024-01-02;220.22;264.26;44.04;Payée;32.0;Virement
FAC-000221;CLI-087900;2024-03-05;2024-04-04;111.98;134.38;22.4;En attente;;Prélèvement
FAC-000222;CLI-090522;2024-12-29;2025-01-28;1495.92;1795.1;299.18;Payée;2.0;CB en ligne
FAC-000223;CLI-086974;2023-04-23;2023-05-23;262.86;315.43;52.57;Payée;30.0;Prélèvement
FAC-000224;CLI-096485;2024-04-05;2024-05-05;372.88;447.46;74.58;Payée;12.0;Prélèvement
FAC-000225;CLI-090027;2024-08-25;2024-09-24;123.27;147.92;24.65;En attente;;Prélèvement
FAC-000226;CLI-086076;2024-05-20;2024-06-19;786.55;943.86;157.31;En retard;45.0;Prélèvement
FAC-000227;CLI-099017;2022-04-04;2022-05-04;60.95;73.14;12.19;Payée;20.0;Prélèvement
FAC-000228;CLI-099166;2024-11-26;2024-12-26;62.44;74.93;12.49;Payée;21.0;Prélèvement
FAC-000229;CLI-091368;2023-11-17;2023-12-17;1413.41;1696.09;282.68;Payée;11.0;Prélèvement
FAC-000230;CLI-087144;2022-01-29;2022-02-28;43.85;52.62;8.77;Payée;28.0;Prélèvement
FAC-000231;CLI-097689;2023-07-07;2023-08-06;84.82;101.78;16.96;Payée;14.0;Prélèvement
FAC-000232;CLI-098911;2022-11-03;2022-12-03;41715.5;50058.6;8343.1;Impayée;201.0;TIP
FAC-000233;CLI-092932;2024-08-23;2024-09-22;141.94;170.33;28.39;Payée;14.0;Prélèvement
FAC-000234;CLI-093799;2024-04-25;2024-05-25;217.85;261.42;43.57;Payée;20.0;Prélèvement
FAC-000235;CLI-098726;2023-01-21;2023-02-20;346.46;415.75;69.29;En retard;55.0;Chèque
FAC-000236;CLI-095264;2025-05-11;2025-06-10;1258.29;1509.95;251.66;Payée;20.0;Prélèvement
FAC-000237;CLI-100901;2023-08-01;2023-08-31;242.9;291.48;48.58;En retard;71.0;Prélèvement
FAC-000238;CLI-086558;2024-02-16;2024-03-17;1299.8;1559.76;259.96;Payée;18.0;CB en ligne
FAC-000239;CLI-094005;2024-04-29;2024-05-29;201.13;241.36;40.23;En attente;;Prélèvement
FAC-000240;CLI-094985;2023-06-24;2023-07-24;126.65;151.98;25.33;Payée;5.0;CB en ligne
FAC-000241;CLI-096416;2022-03-09;2022-04-08;244.4;293.28;48.88;Payée;8.0;Chèque
FAC-000242;CLI-088201;2025-01-28;2025-02-27;71.86;86.23;14.37;En attente;;Virement
FAC-000243;CLI-099152;2022-01-01;2022-01-31;153.56;184.27;30.71;Impayée;245.0;Prélèvement
FAC-000244;CLI-094789;2024-10-13;2024-11-12;84.32;101.18;16.86;Payée;8.0;CB en ligne
FAC-000245;CLI-096993;2025-03-01;2025-03-31;123.32;147.98;24.66;Payée;27.0;Chèque
FAC-000246;CLI-099120;2023-04-16;2023-05-16;62.78;75.34;12.56;En attente;;Prélèvement
FAC-000247;CLI-087709;2023-03-31;2023-04-30;150.37;180.44;30.07;Impayée;342.0;Chèque
FAC-000248;CLI-091765;2024-01-02;2024-02-01;562.34;674.81;112.47;Impayée;269.0;Prélèvement
FAC-000249;CLI-092817;2023-02-28;2023-03-30;7637.35;9164.82;1527.47;En retard;83.0;Prélèvement
FAC-000250;CLI-086693;2024-07-08;2024-08-07;238.36;286.03;47.67;En retard;50.0;CB en ligne
FAC-000251;CLI-096597;2022-06-18;2022-07-18;219.53;263.44;43.91;En attente;;Chèque
FAC-000252;CLI-086130;2022-01-15;2022-02-14;130.37;156.44;26.07;En attente;;Prélèvement
FAC-000253;CLI-094316;2025-04-28;2025-05-28;1026.79;1232.15;205.36;Impayée;113.0;Virement
FAC-000254;CLI-099520;2024-09-20;2024-10-20;92.73;111.28;18.55;Payée;23.0;Prélèvement
FAC-000255;CLI-091555;2023-09-12;2023-10-12;112.17;134.6;22.43;Impayée;169.0;Prélèvement
