compteur_id;pdl;client_id;type_energie;type_compteur;marque;date_installation;dernier_releve;statut
CPT-086034;92488131810878;CLI-086026;Électricité;Linky;Itron;2017-11-21;2025-05-02;Actif
CPT-086035;60977041300126;CLI-086027;Électricité;Linky;Itron;2018-09-07;2025-05-03;Actif
CPT-086036;78142436229929;CLI-086028;Électricité;Linky;Sagemcom;2015-04-16;2025-04-10;Suspendu
CPT-086037;63150852595767;CLI-086028;Gaz;Gazpar;Sagemcom;2015-04-06;2025-05-06;Suspendu
CPT-086038;89364589328219;CLI-086029;Électricité;Linky;Landis+Gyr;2014-09-21;2025-04-20;Actif
CPT-086039;32988459759700;CLI-086030;Électricité;Linky;Itron;2018-01-23;2025-04-05;Actif
CPT-086040;17235532324659;CLI-086031;Électricité;Linky;Itron;2014-12-25;2025-04-16;Suspendu
CPT-086041;19360763082088;CLI-086032;Électricité;Linky;Landis+Gyr;2020-03-11;2025-05-08;Suspendu
CPT-086042;81006242015779;CLI-086033;Gaz;Traditionnel;Itron;2019-01-11;2025-04-13;Actif
CPT-086043;98391292838070;CLI-086034;Électricité;Linky;Sagemcom;2015-06-24;2025-04-05;Suspendu
CPT-086044;45548322335364;CLI-086035;Électricité;Linky;Sagemcom;2013-07-13;2025-05-16;Actif
CPT-086045;14481349066874;CLI-086036;Électricité;Électromécanique;Iskraemeco;2013-03-07;2025-05-29;Actif
CPT-086046;59597120221797;CLI-086037;Électricité;Linky;Iskraemeco;2014-04-18;2025-05-23;Résilié
CPT-086047;35184115782372;CLI-086037;Gaz;Gazpar;Iskraemeco;2014-05-09;2025-04-07;Résilié
CPT-086048;43959107611111;CLI-086038;Gaz;Gazpar;Itron;2014-11-07;2025-05-09;Actif
CPT-086049;69027556645708;CLI-086039;Électricité;Électromécanique;Itron;2018-09-13;2025-04-26;Actif
CPT-086050;19245279941675;CLI-086040;Électricité;Linky;Sagemcom;2013-12-30;2025-05-09;Actif
CPT-086051;55655384083161;CLI-086041;Gaz;Traditionnel;Sagemcom;2019-08-07;2025-05-05;Actif
CPT-086052;11427774158677;CLI-086042;Électricité;Linky;Itron;2016-09-11;2025-04-29;Actif
CPT-086053;59631583706063;CLI-086042;Gaz;Traditionnel;Itron;2016-09-11;2025-04-10;Actif
CPT-086054;58447684751705;CLI-086043;Gaz;Gazpar;Itron;2012-02-26;2025-05-04;Suspendu
CPT-086055;39931093911325;CLI-086044;Électricité;Linky;Landis+Gyr;2019-09-24;2025-04-24;Actif
CPT-086056;63294387480478;CLI-086045;Électricité;Linky;Landis+Gyr;2016-08-23;2025-05-15;Suspendu
CPT-086057;26114831675775;CLI-086045;Gaz;Traditionnel;Itron;2016-09-05;2025-05-24;Suspendu
CPT-086058;51656372112467;CLI-086046;Électricité;Linky;Iskraemeco;2012-02-12;2025-05-31;Actif
CPT-086059;12697629767289;CLI-086047;Électricité;Électromécanique;Sagemcom;2014-06-18;2025-05-20;Actif
CPT-086060;96967819191516;CLI-086048;Électricité;Linky;Landis+Gyr;2014-08-21;2025-04-30;Actif
CPT-086061;87487187667746;CLI-086049;Électricité;Linky;Iskraemeco;2014-10-12;2025-04-19;Actif
CPT-086062;10363599959445;CLI-086050;Électricité;Linky;Landis+Gyr;2012-10-07;2025-04-06;Actif
CPT-086063;95669293033687;CLI-086051;Électricité;Linky;Landis+Gyr;2013-08-18;2025-04-10;Résilié
CPT-086064;88444270391120;CLI-086051;Gaz;Gazpar;Itron;2013-08-31;2025-05-24;Résilié
CPT-086065;14973320133125;CLI-086052;Électricité;Linky;Itron;2013-11-11;2025-05-20;Actif
CPT-086066;85678558851326;CLI-086053;Électricité;Linky;Landis+Gyr;2015-12-18;2025-04-27;Suspendu
CPT-086067;37547466417108;CLI-086053;Gaz;Gazpar;Sagemcom;2015-12-24;2025-05-07;Suspendu
CPT-086068;85005848783851;CLI-086054;Électricité;Électromécanique;Sagemcom;2020-04-14;2025-05-18;Résilié
CPT-086069;14877942554337;CLI-086054;Gaz;Gazpar;Landis+Gyr;2020-04-05;2025-05-11;Résilié
CPT-086070;48811972708312;CLI-086055;Gaz;Gazpar;Itron;2020-11-14;2025-05-20;Actif
CPT-086071;22748778894749;CLI-086056;Gaz;Traditionnel;Sagemcom;2017-12-22;2025-05-20;Résilié
CPT-086072;65250335091274;CLI-086057;Électricité;Linky;Itron;2015-05-15;2025-05-01;Actif
CPT-086073;26030548983597;CLI-086057;Gaz;Gazpar;Iskraemeco;2015-04-27;2025-05-25;Actif
CPT-086074;71831688084214;CLI-086058;Électricité;Linky;Sagemcom;2017-05-05;2025-04-13;Actif
CPT-086075;61246802214411;CLI-086059;Électricité;Linky;Itron;2017-09-23;2025-05-14;Actif
CPT-086076;79603376653169;CLI-086060;Électricité;Linky;Iskraemeco;2014-11-06;2025-04-24;Actif
CPT-086077;21249279992227;CLI-086060;Gaz;Traditionnel;Landis+Gyr;2014-10-24;2025-05-06;Actif
CPT-086078;67838425111123;CLI-086061;Électricité;Linky;Landis+Gyr;2016-03-31;2025-05-18;Actif
CPT-086079;78483469586982;CLI-086062;Électricité;Linky;Sagemcom;2013-03-09;2025-04-03;Actif
CPT-086080;26529930366879;CLI-086063;Électricité;Électromécanique;Iskraemeco;2017-03-25;2025-05-28;Actif
CPT-086081;19815625325929;CLI-086064;Électricité;Électromécanique;Itron;2021-03-04;2025-04-13;Suspendu
CPT-086082;99661486620988;CLI-086064;Gaz;Traditionnel;Landis+Gyr;2021-02-20;2025-05-17;Suspendu
CPT-086083;19852078293175;CLI-086065;Électricité;Linky;Sagemcom;2021-03-10;2025-05-22;Résilié
CPT-086084;99299687635914;CLI-086065;Gaz;Gazpar;Itron;2021-03-10;2025-04-04;Résilié
CPT-086085;55073015406267;CLI-086066;Électricité;Linky;Iskraemeco;2015-12-14;2025-05-20;Résilié
CPT-086086;37736628609401;CLI-086067;Électricité;Linky;Sagemcom;2015-10-03;2025-04-02;Suspendu
CPT-086087;94087803619951;CLI-086068;Électricité;Linky;Itron;2014-10-06;2025-05-20;Actif
CPT-086088;33613929207065;CLI-086069;Gaz;Traditionnel;Landis+Gyr;2018-09-27;2025-04-09;Actif
CPT-086089;34182609881762;CLI-086070;Électricité;Électromécanique;Itron;2021-04-17;2025-04-07;Suspendu
CPT-086090;19681495364656;CLI-086071;Électricité;Linky;Sagemcom;2013-08-30;2025-05-17;Actif
CPT-086091;33969548808398;CLI-086072;Gaz;Traditionnel;Sagemcom;2019-09-29;2025-05-12;Actif
CPT-086092;41197313205046;CLI-086073;Gaz;Traditionnel;Iskraemeco;2021-02-16;2025-05-30;Suspendu
CPT-086093;70182522954096;CLI-086074;Gaz;Traditionnel;Itron;2012-09-03;2025-04-15;Actif
CPT-086094;88843437567621;CLI-086075;Électricité;Linky;Landis+Gyr;2020-03-16;2025-04-16;Actif
CPT-086095;15711836957391;CLI-086076;Gaz;Gazpar;Sagemcom;2016-05-25;2025-05-15;Suspendu
CPT-086096;50132075476086;CLI-086077;Électricité;Linky;Itron;2018-07-25;2025-05-04;Suspendu
CPT-086097;99592566571537;CLI-086078;Électricité;Linky;Sagemcom;2018-04-20;2025-05-25;Actif
CPT-086098;30957571546818;CLI-086079;Électricité;Linky;Landis+Gyr;2015-11-28;2025-05-01;Actif
CPT-086099;78751437004618;CLI-086080;Électricité;Linky;Itron;2014-10-21;2025-04-02;Résilié
CPT-086100;37850000985909;CLI-086081;Électricité;Linky;Iskraemeco;2012-04-19;2025-05-22;Actif
CPT-086101;84429029218501;CLI-086082;Électricité;Linky;Landis+Gyr;2016-10-17;2025-04-03;Actif
CPT-086102;19225806427917;CLI-086083;Électricité;Linky;Sagemcom;2018-04-20;2025-04-17;Résilié
CPT-086103;56219607660043;CLI-086084;Électricité;Linky;Landis+Gyr;2014-09-25;2025-05-24;Actif
CPT-086104;52585024440517;CLI-086085;Électricité;Électromécanique;Sagemcom;2016-11-07;2025-05-09;Résilié
CPT-086105;72980741626111;CLI-086086;Électricité;Linky;Sagemcom;2016-08-10;2025-04-19;Actif
CPT-086106;63409341551692;CLI-086087;Électricité;Linky;Sagemcom;2020-05-03;2025-05-27;Actif
CPT-086107;70750794140131;CLI-086088;Gaz;Gazpar;Itron;2021-02-16;2025-05-11;Suspendu
CPT-086108;33160702579018;CLI-086089;Électricité;Linky;Landis+Gyr;2018-01-16;2025-04-11;Suspendu
CPT-086109;63853941782279;CLI-086090;Gaz;Gazpar;Landis+Gyr;2018-03-03;2025-05-12;Résilié
CPT-086110;23576454692478;CLI-086091;Gaz;Traditionnel;Iskraemeco;2021-06-15;2025-05-20;Actif
CPT-086111;95520173516945;CLI-086092;Électricité;Électromécanique;Landis+Gyr;2013-05-14;2025-05-09;Suspendu
CPT-086112;19067597949314;CLI-086092;Gaz;Gazpar;Landis+Gyr;2013-05-21;2025-04-25;Suspendu
CPT-086113;25419301197301;CLI-086093;Électricité;Électromécanique;Landis+Gyr;2015-12-08;2025-05-11;Actif
CPT-086114;27661748614768;CLI-086094;Électricité;Linky;Itron;2020-04-30;2025-05-21;Actif
CPT-086115;16716543739327;CLI-086095;Gaz;Traditionnel;Landis+Gyr;2016-12-06;2025-04-05;Suspendu
CPT-086116;55689442991215;CLI-086096;Électricité;Linky;Sagemcom;2016-05-13;2025-04-19;Suspendu
CPT-086117;84718975041507;CLI-086097;Électricité;Électromécanique;Landis+Gyr;2013-11-09;2025-04-08;Suspendu
CPT-086118;36759975437814;CLI-086098;Électricité;Linky;Sagemcom;2020-02-02;2025-05-30;Actif
CPT-086119;41937449932498;CLI-086098;Gaz;Traditionnel;Landis+Gyr;2020-01-17;2025-05-17;Actif
CPT-086120;46581556355828;CLI-086099;Électricité;Linky;Itron;2019-06-19;2025-05-15;Résilié
CPT-086121;71169144965859;CLI-086099;Gaz;Gazpar;Landis+Gyr;2019-06-04;2025-05-01;Résilié
CPT-086122;37041074826494;CLI-086100;Gaz;Traditionnel;Sagemcom;2014-03-18;2025-04-12;Actif
CPT-086123;67448605690738;CLI-086101;Électricité;Linky;Itron;2014-04-01;2025-04-02;Actif
CPT-086124;64534914780368;CLI-086102;Électricité;Linky;Landis+Gyr;2015-10-01;2025-05-29;Résilié
CPT-086125;46245211324005;CLI-086102;Gaz;Gazpar;Sagemcom;2015-10-12;2025-04-02;Résilié
CPT-086126;65041981210715;CLI-086103;Électricité;Linky;Itron;2017-01-21;2025-05-23;Résilié
CPT-086127;87211012149555;CLI-086104;Électricité;Linky;Itron;2021-10-25;2025-04-22;Actif
CPT-086128;71699057684241;CLI-086104;Gaz;Gazpar;Sagemcom;2021-11-05;2025-04-20;Actif
CPT-086129;64971860864466;CLI-086105;Gaz;Gazpar;Iskraemeco;2013-08-16;2025-05-20;Actif
CPT-086130;77700434426640;CLI-086106;Électricité;Linky;Landis+Gyr;2019-01-20;2025-04-25;Actif
CPT-086131;95333070567252;CLI-086107;Électricité;Linky;Itron;2017-07-19;2025-05-01;Actif
CPT-086132;76672006228903;CLI-086108;Gaz;Gazpar;Iskraemeco;2021-07-31;2025-05-12;Actif
CPT-086133;42886481876123;CLI-086109;Électricité;Linky;Sagemcom;2020-07-18;2025-04-27;Actif
CPT-086134;43371785246515;CLI-086109;Gaz;Gazpar;Iskraemeco;2020-07-09;2025-04-04;Actif
CPT-086135;51165268620601;CLI-086110;Électricité;Linky;Sagemcom;2017-01-09;2025-04-02;Actif
CPT-086136;30837839178934;CLI-086110;Gaz;Traditionnel;Sagemcom;2016-12-25;2025-04-09;Actif
CPT-086137;38818906593611;CLI-086111;Électricité;Linky;Itron;2016-09-22;2025-05-28;Résilié
CPT-086138;24091429781070;CLI-086111;Gaz;Gazpar;Iskraemeco;2016-08-31;2025-05-06;Résilié
CPT-086139;82024373438700;CLI-086112;Électricité;Électromécanique;Landis+Gyr;2015-07-28;2025-05-09;Actif
CPT-086140;64945888579852;CLI-086113;Électricité;Linky;Sagemcom;2019-02-21;2025-05-27;Résilié
CPT-086141;66211823947079;CLI-086114;Gaz;Gazpar;Sagemcom;2012-04-20;2025-05-04;Actif
CPT-086142;41768435855957;CLI-086115;Électricité;Linky;Iskraemeco;2015-03-02;2025-05-26;Actif
CPT-086143;84791241110464;CLI-086116;Électricité;Linky;Itron;2015-04-12;2025-04-13;Actif
CPT-086144;14408151602456;CLI-086116;Gaz;Gazpar;Iskraemeco;2015-05-03;2025-05-28;Actif
CPT-086145;25928552075749;CLI-086117;Électricité;Linky;Sagemcom;2014-11-19;2025-05-17;Actif
CPT-086146;10134933401388;CLI-086117;Gaz;Gazpar;Sagemcom;2014-11-05;2025-05-30;Actif
CPT-086147;88955961046046;CLI-086118;Électricité;Linky;Itron;2019-08-19;2025-05-23;Résilié
CPT-086148;25182927827063;CLI-086118;Gaz;Gazpar;Iskraemeco;2019-08-04;2025-05-29;Résilié
CPT-086149;49197916993421;CLI-086119;Électricité;Linky;Itron;2012-06-26;2025-05-04;Résilié
CPT-086150;89595901473652;CLI-086120;Électricité;Linky;Iskraemeco;2020-08-26;2025-04-08;Actif
CPT-086151;91820153752722;CLI-086121;Électricité;Linky;Iskraemeco;2021-01-19;2025-04-27;Actif
CPT-086152;25284183676331;CLI-086122;Électricité;Linky;Sagemcom;2013-12-24;2025-05-12;Actif
CPT-086153;64052365425469;CLI-086123;Gaz;Gazpar;Itron;2016-11-04;2025-04-21;Actif
CPT-086154;58421630332714;CLI-086124;Électricité;Linky;Iskraemeco;2019-08-19;2025-05-28;Actif
CPT-086155;57336291987371;CLI-086125;Électricité;Linky;Sagemcom;2015-11-08;2025-05-07;Résilié
CPT-086156;80694976780062;CLI-086125;Gaz;Gazpar;Itron;2015-11-23;2025-05-30;Résilié
CPT-086157;15562218603173;CLI-086126;Électricité;Linky;Itron;2012-08-30;2025-05-17;Suspendu
CPT-086158;15546051419686;CLI-086127;Électricité;Linky;Sagemcom;2012-06-19;2025-05-01;Actif
CPT-086159;64908334985567;CLI-086127;Gaz;Traditionnel;Itron;2012-05-29;2025-04-06;Actif
CPT-086160;31360167526404;CLI-086128;Gaz;Gazpar;Sagemcom;2014-11-09;2025-05-26;Suspendu
CPT-086161;80720485768659;CLI-086129;Électricité;Électromécanique;Iskraemeco;2017-02-13;2025-04-13;Résilié
CPT-086162;33371998529860;CLI-086129;Gaz;Gazpar;Itron;2017-02-12;2025-05-17;Résilié
CPT-086163;85693193014471;CLI-086130;Électricité;Linky;Sagemcom;2018-06-22;2025-04-03;Résilié
CPT-086164;13935007330260;CLI-086131;Électricité;Linky;Itron;2013-01-11;2025-04-07;Actif
CPT-086165;14518238844347;CLI-086132;Électricité;Linky;Itron;2020-03-09;2025-05-30;Actif
CPT-086166;35656601456215;CLI-086132;Gaz;Traditionnel;Landis+Gyr;2020-03-08;2025-05-26;Actif
CPT-086167;71232229302492;CLI-086133;Électricité;Linky;Landis+Gyr;2016-02-21;2025-04-07;Actif
CPT-086168;82583923064593;CLI-086134;Électricité;Linky;Landis+Gyr;2020-03-26;2025-05-04;Suspendu
CPT-086169;73022768958246;CLI-086135;Électricité;Linky;Landis+Gyr;2013-08-08;2025-05-07;Résilié
CPT-086170;19064161451057;CLI-086135;Gaz;Gazpar;Sagemcom;2013-08-11;2025-04-09;Résilié
CPT-086171;74319590477624;CLI-086136;Électricité;Électromécanique;Landis+Gyr;2012-04-14;2025-04-13;Actif
CPT-086172;53502695088509;CLI-086137;Électricité;Linky;Landis+Gyr;2021-04-20;2025-05-31;Actif
CPT-086173;24202326459087;CLI-086138;Électricité;Linky;Iskraemeco;2017-12-13;2025-04-15;Actif
CPT-086174;78902530892419;CLI-086139;Électricité;Linky;Landis+Gyr;2021-03-07;2025-04-13;Actif
CPT-086175;77095360928260;CLI-086140;Gaz;Traditionnel;Itron;2014-09-16;2025-04-21;Actif
CPT-086176;71697177320107;CLI-086141;Électricité;Linky;Landis+Gyr;2017-01-02;2025-05-11;Actif
CPT-086177;99839532944344;CLI-086142;Gaz;Gazpar;Sagemcom;2013-05-11;2025-05-24;Suspendu
CPT-086178;72707252753814;CLI-086143;Électricité;Linky;Sagemcom;2014-12-15;2025-04-11;Actif
CPT-086179;88824829352009;CLI-086144;Électricité;Linky;Sagemcom;2013-02-21;2025-04-22;Actif
CPT-086180;40290259211195;CLI-086144;Gaz;Gazpar;Itron;2013-02-19;2025-05-25;Actif
CPT-086181;59641973591715;CLI-086145;Électricité;Linky;Itron;2017-11-10;2025-04-16;Actif
CPT-086182;43488377095153;CLI-086146;Électricité;Linky;Sagemcom;2017-11-30;2025-04-20;Suspendu
CPT-086183;18079894603718;CLI-086146;Gaz;Gazpar;Sagemcom;2017-12-02;2025-05-08;Suspendu
CPT-086184;20661850982628;CLI-086147;Électricité;Linky;Landis+Gyr;2020-03-16;2025-04-21;Actif
CPT-086185;70332835279351;CLI-086147;Gaz;Traditionnel;Itron;2020-02-28;2025-04-24;Actif
CPT-086186;91143198881443;CLI-086148;Gaz;Traditionnel;Sagemcom;2018-02-12;2025-04-02;Résilié
CPT-086187;81623745360022;CLI-086149;Électricité;Électromécanique;Itron;2016-06-24;2025-04-16;Résilié
CPT-086188;11731163701364;CLI-086150;Électricité;Linky;Sagemcom;2015-06-28;2025-04-25;Résilié
CPT-086189;67942688530535;CLI-086151;Électricité;Linky;Landis+Gyr;2015-11-19;2025-04-04;Actif
CPT-086190;95724131114214;CLI-086152;Gaz;Traditionnel;Iskraemeco;2018-03-13;2025-04-16;Actif
CPT-086191;34547517916328;CLI-086153;Électricité;Linky;Landis+Gyr;2018-11-19;2025-05-14;Actif
CPT-086192;20067415841660;CLI-086154;Électricité;Linky;Iskraemeco;2012-10-18;2025-05-01;Actif
CPT-086193;44135417605268;CLI-086154;Gaz;Traditionnel;Sagemcom;2012-10-26;2025-04-17;Actif
CPT-086194;76953638593588;CLI-086155;Électricité;Linky;Itron;2017-06-01;2025-04-02;Actif
CPT-086195;52480368126204;CLI-086155;Gaz;Traditionnel;Itron;2017-06-01;2025-04-14;Actif
CPT-086196;55393404695472;CLI-086156;Électricité;Linky;Landis+Gyr;2017-05-08;2025-04-16;Actif
CPT-086197;41275497117145;CLI-086157;Électricité;Linky;Itron;2021-02-28;2025-05-28;Actif
CPT-086198;41541898426573;CLI-086158;Électricité;Linky;Itron;2017-09-17;2025-05-31;Actif
CPT-086199;53862783323776;CLI-086158;Gaz;Gazpar;Iskraemeco;2017-09-17;2025-05-15;Actif
CPT-086200;19875597034271;CLI-086159;Électricité;Linky;Sagemcom;2014-02-03;2025-04-25;Suspendu
CPT-086201;54180873050974;CLI-086160;Électricité;Linky;Sagemcom;2021-10-05;2025-04-14;Actif
CPT-086202;57436686279942;CLI-086161;Gaz;Gazpar;Sagemcom;2020-04-06;2025-04-03;Résilié
CPT-086203;40280543225156;CLI-086162;Électricité;Électromécanique;Itron;2015-08-21;2025-05-03;Actif
CPT-086204;48506646876973;CLI-086163;Électricité;Linky;Iskraemeco;2016-05-12;2025-05-30;Résilié
CPT-086205;92586547228737;CLI-086163;Gaz;Gazpar;Itron;2016-05-14;2025-05-15;Résilié
CPT-086206;40919111375177;CLI-086164;Électricité;Linky;Sagemcom;2019-01-25;2025-05-28;Actif
CPT-086207;87622085286992;CLI-086164;Gaz;Gazpar;Itron;2019-01-11;2025-04-25;Actif
CPT-086208;43945815268479;CLI-086165;Électricité;Linky;Itron;2015-12-05;2025-04-17;Résilié
CPT-086209;60860988983453;CLI-086166;Électricité;Linky;Sagemcom;2019-04-05;2025-04-14;Actif
CPT-086210;69901533557866;CLI-086167;Électricité;Linky;Sagemcom;2019-06-30;2025-05-27;Résilié
CPT-086211;63422995699265;CLI-086167;Gaz;Gazpar;Landis+Gyr;2019-07-09;2025-05-31;Résilié
CPT-086212;48845550085232;CLI-086168;Gaz;Gazpar;Itron;2016-03-28;2025-05-22;Actif
CPT-086213;18186952022530;CLI-086169;Électricité;Linky;Itron;2013-09-27;2025-04-14;Actif
CPT-086214;63738288027871;CLI-086170;Électricité;Linky;Sagemcom;2017-09-03;2025-04-29;Actif
CPT-086215;71666126638773;CLI-086171;Électricité;Linky;Itron;2018-06-07;2025-05-02;Actif
CPT-086216;58333570079526;CLI-086172;Électricité;Linky;Sagemcom;2020-04-12;2025-04-21;Actif
CPT-086217;46280162349707;CLI-086172;Gaz;Gazpar;Landis+Gyr;2020-04-11;2025-05-26;Actif
CPT-086218;73720800419784;CLI-086173;Électricité;Linky;Sagemcom;2021-10-26;2025-05-24;Actif
CPT-086219;89632903958958;CLI-086174;Électricité;Linky;Itron;2018-07-07;2025-05-17;Résilié
CPT-086220;58099355474026;CLI-086175;Électricité;Linky;Landis+Gyr;2014-08-26;2025-05-13;Actif
CPT-086221;96742565552945;CLI-086175;Gaz;Gazpar;Iskraemeco;2014-08-14;2025-05-29;Actif
CPT-086222;48293757149550;CLI-086176;Électricité;Électromécanique;Iskraemeco;2017-01-02;2025-05-06;Actif
CPT-086223;91270839160956;CLI-086177;Électricité;Linky;Itron;2020-08-19;2025-04-25;Actif
CPT-086224;14132391046793;CLI-086178;Électricité;Linky;Sagemcom;2012-05-26;2025-04-04;Actif
CPT-086225;18427851355823;CLI-086178;Gaz;Gazpar;Iskraemeco;2012-05-13;2025-05-12;Actif
CPT-086226;60856769557415;CLI-086179;Électricité;Linky;Landis+Gyr;2018-05-30;2025-04-19;Actif
CPT-086227;56133348663502;CLI-086180;Électricité;Linky;Iskraemeco;2021-07-02;2025-05-28;Actif
CPT-086228;36398628535244;CLI-086180;Gaz;Traditionnel;Itron;2021-07-07;2025-05-31;Actif
CPT-086229;32115560056105;CLI-086181;Électricité;Linky;Landis+Gyr;2019-05-30;2025-05-30;Suspendu
CPT-086230;97283689977470;CLI-086182;Électricité;Linky;Itron;2012-09-28;2025-04-25;Actif
CPT-086231;34392077677217;CLI-086183;Électricité;Linky;Sagemcom;2015-07-04;2025-05-27;Actif
CPT-086232;60843042159605;CLI-086184;Électricité;Électromécanique;Iskraemeco;2021-06-11;2025-04-30;Actif
CPT-086233;61229501741336;CLI-086184;Gaz;Gazpar;Sagemcom;2021-06-08;2025-05-15;Actif
CPT-086234;83573252333356;CLI-086185;Électricité;Linky;Sagemcom;2019-10-14;2025-04-19;Actif
CPT-086235;74836531707575;CLI-086186;Électricité;Linky;Itron;2015-10-03;2025-04-15;Résilié
CPT-086236;65286792384077;CLI-086187;Électricité;Linky;Itron;2015-03-13;2025-05-14;Actif
CPT-086237;23893118939168;CLI-086188;Électricité;Linky;Iskraemeco;2018-07-28;2025-05-27;Actif
CPT-086238;56847489135404;CLI-086189;Gaz;Gazpar;Sagemcom;2012-07-07;2025-04-03;Résilié
CPT-086239;85719749182545;CLI-086190;Gaz;Gazpar;Iskraemeco;2021-07-27;2025-04-03;Actif
CPT-086240;53016679951877;CLI-086191;Électricité;Électromécanique;Itron;2020-06-20;2025-05-24;Actif
CPT-086241;21361889435071;CLI-086191;Gaz;Gazpar;Sagemcom;2020-06-21;2025-05-26;Actif
CPT-086242;50228359205732;CLI-086192;Électricité;Linky;Landis+Gyr;2016-09-14;2025-04-12;Actif
CPT-086243;45027280772452;CLI-086192;Gaz;Gazpar;Sagemcom;2016-09-26;2025-05-21;Actif
CPT-086244;36022130714121;CLI-086193;Gaz;Traditionnel;Landis+Gyr;2016-01-18;2025-05-23;Suspendu
CPT-086245;83815716884796;CLI-086194;Gaz;Traditionnel;Itron;2019-10-20;2025-05-07;Actif
CPT-086246;23115141673108;CLI-086195;Électricité;Linky;Itron;2020-06-02;2025-05-03;Résilié
CPT-086247;47460142122132;CLI-086196;Électricité;Linky;Landis+Gyr;2013-06-25;2025-05-21;Actif
CPT-086248;97976890466852;CLI-086196;Gaz;Traditionnel;Landis+Gyr;2013-07-17;2025-05-11;Actif
CPT-086249;18228028479758;CLI-086197;Électricité;Linky;Landis+Gyr;2021-01-25;2025-04-28;Actif
CPT-086250;56998070737896;CLI-086198;Électricité;Linky;Landis+Gyr;2021-10-16;2025-05-14;Résilié
