intervention_id;client_id;type_intervention;date_intervention;duree_heures;statut;technicien_id;commune;cout_intervention_eur;satisfaction_intervention
INT-000019;CLI-087726;Changement compteur;2025-05-09;0.83;Annulée;TECH-015;Châtellerault;658.91;9.2
INT-000020;CLI-096939;Dépannage réseau;2024-02-02;5.11;Terminée;TECH-038;Buxerolles;604.35;9.2
INT-000021;CLI-090317;Contrôle technique;2022-04-17;0.94;Terminée;TECH-020;Poitiers;43.57;9.3
INT-000022;CLI-088298;Changement compteur;2022-10-10;1.42;Planifiée;TECH-027;Poitiers;278.54;9.8
INT-000023;CLI-087116;Relève compteur;2023-08-09;1.25;Terminée;TECH-042;Neuville-de-Poitou;755.86;9.0
INT-000024;CLI-086411;Mise en service;2024-05-15;1.4;Terminée;TECH-041;Poitiers;508.01;7.9
INT-000025;CLI-096285;Contrôle technique;2025-05-06;2.42;Terminée;TECH-016;Saint-Benoît;389.57;5.8
INT-000026;CLI-094122;Coupure impayé;2023-10-31;1.18;Terminée;TECH-012;Loudun;519.41;6.6
INT-000027;CLI-092928;Contrôle technique;2024-10-22;1.11;Terminée;TECH-028;Vivonne;403.8;9.0
INT-000028;CLI-086648;Coupure impayé;2025-01-24;1.21;Annulée;TECH-002;Poitiers;250.89;8.5
INT-000029;CLI-094974;Relève compteur;2022-12-08;0.66;Terminée;TECH-026;Chasseneuil-du-Poitou;715.01;8.8
INT-000030;CLI-093294;Mise en service;2025-05-05;0.37;En cours;TECH-044;Poitiers;783.43;7.1
INT-000031;CLI-091658;Changement compteur;2023-01-13;0.83;Terminée;TECH-024;Poitiers;769.99;9.4
INT-000032;CLI-091466;Maintenance préventive;2023-08-31;2.35;Terminée;TECH-006;Jaunay-Marigny;480.16;6.5
INT-000033;CLI-100496;Dépannage réseau;2024-08-11;3.3;Terminée;TECH-024;Poitiers;213.51;6.2
INT-000034;CLI-095892;Rétablissement;2024-01-03;0.4;Annulée;TECH-019;Poitiers;104.27;5.5
INT-000035;CLI-094971;Relève compteur;2023-01-13;1.2;Terminée;TECH-009;Migné-Auxances;538.85;6.9
INT-000036;CLI-099205;Dépannage réseau;2024-11-27;1.01;Terminée;TECH-036;Poitiers;492.65;7.9
INT-000037;CLI-099255;Relève compteur;2024-10-12;1.48;Terminée;TECH-014;Poitiers;174.99;6.0
INT-000038;CLI-093514;Changement compteur;2025-02-27;0.61;Terminée;TECH-008;Poitiers;764.16;7.9
INT-000039;CLI-090200;Contrôle technique;2025-05-12;1.21;Planifiée;TECH-019;Montmorillon;211.97;6.0
INT-000040;CLI-086895;Modification puissance;2023-03-13;0.37;Terminée;TECH-042;Poitiers;180.69;9.4
INT-000041;CLI-097431;Mise en service;2023-10-24;0.34;Terminée;TECH-015;Buxerolles;711.66;8.4
INT-000042;CLI-091157;Changement compteur;2022-03-07;1.16;Terminée;TECH-010;Migné-Auxances;148.18;4.3
INT-000043;CLI-091640;Coupure impayé;2022-04-28;0.83;Terminée;TECH-006;Poitiers;208.54;8.4
INT-000044;CLI-098594;Contrôle technique;2023-06-06;1.27;Terminée;TECH-013;Jaunay-Marigny;454.82;5.8
INT-000045;CLI-099948;Dépannage réseau;2022-02-24;5.47;Annulée;TECH-026;Montmorillon;641.29;7.6
INT-000046;CLI-098921;Dépannage réseau;2024-07-19;1.7;Terminée;TECH-017;Poitiers;484.76;6.1
INT-000047;CLI-091074;Relève compteur;2023-03-09;0.46;Terminée;TECH-037;Châtellerault;345.83;8.5
INT-000048;CLI-090703;Mise en service;2024-11-08;0.5;Terminée;TECH-020;Jaunay-Marigny;782.76;9.5
INT-000049;CLI-092033;Dépannage réseau;2023-08-24;2.25;Terminée;TECH-019;Migné-Auxances;633.08;9.5
INT-000050;CLI-093790;Relève compteur;2022-12-16;0.94;Terminée;TECH-019;Poitiers;104.73;6.9
INT-000051;CLI-099564;Relève compteur;2023-04-13;1.02;Terminée;TECH-015;Loudun;182.48;7.2
INT-000052;CLI-095992;Modification puissance;2023-06-03;0.46;Terminée;TECH-036;Civray;369.93;6.6
INT-000053;CLI-096508;Relève compteur;2023-03-29;0.56;Terminée;TECH-017;Montmorillon;172.78;8.6
INT-000054;CLI-089181;Maintenance préventive;2023-09-26;2.23;En cours;TECH-031;Saint-Benoît;721.66;5.6
INT-000055;CLI-100614;Dépannage réseau;2022-01-23;2.58;Terminée;TECH-034;Buxerolles;226.35;10.0
INT-000056;CLI-097599;Raccordement neuf;2023-07-04;3.7;Terminée;TECH-001;Poitiers;711.3;7.8
INT-000057;CLI-091336;Raccordement neuf;2024-12-10;3.92;Terminée;TECH-017;Châtellerault;115.77;8.9
INT-000058;CLI-094004;Mise en service;2024-03-25;0.94;Terminée;TECH-032;Chauvigny;59.78;9.3
INT-000059;CLI-088391;Contrôle technique;2022-06-25;2.56;Terminée;TECH-034;Chasseneuil-du-Poitou;704.59;9.2
INT-000060;CLI-098511;Relève compteur;2023-02-08;0.97;Terminée;TECH-043;Chasseneuil-du-Poitou;598.95;7.5
INT-000061;CLI-099572;Changement compteur;2024-02-24;1.28;Terminée;TECH-009;Poitiers;528.88;6.6
INT-000062;CLI-094606;Changement compteur;2023-03-05;1.63;Terminée;TECH-040;Châtellerault;246.49;7.7
INT-000063;CLI-087942;Raccordement neuf;2025-04-25;2.16;Terminée;TECH-029;Poitiers;264.96;5.9
INT-000064;CLI-090593;Rétablissement;2022-07-17;2.65;Terminée;TECH-031;Poitiers;622.53;9.3
INT-000065;CLI-086565;Relève compteur;2022-04-20;1.29;Terminée;TECH-029;Vivonne;66.54;10.0
INT-000066;CLI-098073;Coupure impayé;2024-08-19;2.13;Terminée;TECH-027;Neuville-de-Poitou;672.11;7.9
INT-000067;CLI-098835;Raccordement neuf;2024-04-23;2.04;Terminée;TECH-006;Vivonne;525.83;7.2
INT-000068;CLI-090720;Dépannage réseau;2022-01-04;1.41;Terminée;TECH-020;Poitiers;692.48;6.7
INT-000069;CLI-087370;Relève compteur;2022-10-06;0.85;Annulée;TECH-030;Jaunay-Marigny;458.54;9.0
INT-000070;CLI-094217;Relève compteur;2023-02-18;1.18;Terminée;TECH-043;Poitiers;770.17;7.5
INT-000071;CLI-098856;Modification puissance;2022-09-15;0.86;Terminée;TECH-021;Poitiers;443.97;7.4
INT-000072;CLI-087200;Dépannage réseau;2022-10-28;2.67;Terminée;TECH-024;Poitiers;772.05;8.4
INT-000073;CLI-099232;Relève compteur;2022-06-07;0.57;Terminée;TECH-009;Chauvigny;713.37;10.0
INT-000074;CLI-094734;Changement compteur;2024-01-28;0.55;Terminée;TECH-012;Chauvigny;406.6;5.8
INT-000075;CLI-100199;Raccordement neuf;2025-04-27;4.08;Terminée;TECH-007;Poitiers;655.81;6.7
INT-000076;CLI-093950;Maintenance préventive;2023-03-15;2.72;Planifiée;TECH-035;Châtellerault;768.78;5.3
INT-000077;CLI-088197;Raccordement neuf;2025-04-19;1.19;Terminée;TECH-031;Montmorillon;224.07;6.0
INT-000078;CLI-100171;Changement compteur;2024-12-16;1.52;En cours;TECH-036;Poitiers;613.07;10.0
INT-000079;CLI-100810;Relève compteur;2024-11-02;0.85;Terminée;TECH-028;Poitiers;481.6;5.4
INT-000080;CLI-087947;Relève compteur;2025-05-21;0.81;Terminée;TECH-039;Saint-Benoît;146.38;9.0
INT-000081;CLI-090863;Modification puissance;2022-08-04;1.35;Terminée;TECH-007;Poitiers;395.87;7.2
INT-000082;CLI-094541;Mise en service;2023-11-16;0.3;Terminée;TECH-015;Châtellerault;478.63;7.0
INT-000083;CLI-090794;Modification puissance;2023-09-25;1.1;Terminée;TECH-039;Châtellerault;494.57;7.8
INT-000084;CLI-100031;Modification puissance;2024-12-14;0.75;Terminée;TECH-037;Poitiers;92.15;9.2
INT-000085;CLI-091794;Relève compteur;2022-11-25;1.38;Terminée;TECH-013;Châtellerault;371.41;6.9
INT-000086;CLI-087261;Relève compteur;2023-05-09;0.74;Terminée;TECH-039;Châtellerault;60.7;9.9
INT-000087;CLI-091784;Modification puissance;2025-04-07;1.21;Terminée;TECH-041;Chasseneuil-du-Poitou;61.79;6.1
INT-000088;CLI-088458;Mise en service;2023-09-26;1.25;Terminée;TECH-037;Châtellerault;413.95;8.4
INT-000089;CLI-088494;Mise en service;2022-12-05;0.89;Terminée;TECH-012;Poitiers;737.58;7.8
INT-000090;CLI-095399;Modification puissance;2023-11-22;0.95;Terminée;TECH-024;Poitiers;115.59;7.9
INT-000091;CLI-088934;Changement compteur;2022-10-14;1.93;Terminée;TECH-032;Poitiers;754.45;3.3
INT-000092;CLI-092013;Modification puissance;2022-01-06;0.81;Terminée;TECH-017;Migné-Auxances;504.16;7.6
INT-000093;CLI-087841;Contrôle technique;2024-12-05;0.59;Terminée;TECH-044;Poitiers;132.47;7.5
INT-000094;CLI-095340;Coupure impayé;2024-09-24;2.37;Terminée;TECH-006;Poitiers;103.08;10.0
INT-000095;CLI-098197;Relève compteur;2024-05-31;0.93;Terminée;TECH-012;Poitiers;172.45;5.9
INT-000096;CLI-091153;Changement compteur;2023-07-12;1.19;Terminée;TECH-013;Buxerolles;651.2;9.7
INT-000097;CLI-090641;Relève compteur;2025-01-26;1.12;Terminée;TECH-003;Mignaloux-Beauvoir;109.44;8.1
INT-000098;CLI-097672;Dépannage réseau;2024-05-11;2.67;Terminée;TECH-025;Vivonne;589.03;5.9
INT-000099;CLI-087633;Relève compteur;2022-06-24;0.61;Terminée;TECH-040;Poitiers;268.52;9.3
INT-000100;CLI-086034;Raccordement neuf;2022-09-11;5.94;Terminée;TECH-038;Poitiers;36.39;5.7
INT-000101;CLI-096951;Maintenance préventive;2024-05-23;1.91;Terminée;TECH-031;Poitiers;214.47;5.7
INT-000102;CLI-089026;Relève compteur;2022-12-30;0.51;Terminée;TECH-031;Mignaloux-Beauvoir;122.23;10.0
INT-000103;CLI-091710;Changement compteur;2023-03-19;0.52;Terminée;TECH-012;Poitiers;348.98;4.5
INT-000104;CLI-089525;Changement compteur;2023-03-05;1.05;Terminée;TECH-001;Châtellerault;240.31;9.6
INT-000105;CLI-093206;Dépannage réseau;2024-08-03;2.59;Terminée;TECH-019;Saint-Benoît;412.59;8.6
INT-000106;CLI-100606;Changement compteur;2024-07-22;1.0;Terminée;TECH-022;Châtellerault;532.09;8.6
INT-000107;CLI-092135;Mise en service;2022-07-14;1.49;Terminée;TECH-013;Poitiers;61.2;5.9
INT-000108;CLI-094678;Relève compteur;2024-05-22;0.91;Terminée;TECH-005;Châtellerault;201.6;6.2
INT-000109;CLI-091957;Mise en service;2024-03-11;1.49;En cours;TECH-028;Châtellerault;350.66;6.1
INT-000110;CLI-094312;Dépannage réseau;2024-12-08;3.88;Terminée;TECH-032;Civray;309.23;6.5
INT-000111;CLI-096097;Changement compteur;2024-10-14;1.19;Terminée;TECH-042;Mignaloux-Beauvoir;687.58;8.7
INT-000112;CLI-088000;Relève compteur;2025-05-04;0.94;Terminée;TECH-002;Châtellerault;196.57;5.9
INT-000113;CLI-089138;Changement compteur;2022-08-07;1.25;Terminée;TECH-027;Poitiers;606.09;5.1
INT-000114;CLI-099811;Relève compteur;2022-12-28;0.48;Planifiée;TECH-032;Mignaloux-Beauvoir;309.26;6.1
INT-000115;CLI-091247;Contrôle technique;2025-01-30;2.19;Terminée;TECH-013;Poitiers;709.82;7.3
INT-000116;CLI-091664;Changement compteur;2023-06-23;1.33;Terminée;TECH-028;Poitiers;797.9;8.9
INT-000117;CLI-092451;Mise en service;2022-09-02;1.34;Terminée;TECH-043;Poitiers;351.78;5.2
INT-000118;CLI-087218;Mise en service;2024-12-07;1.45;En cours;TECH-036;Poitiers;122.28;5.2
INT-000119;CLI-091398;Maintenance préventive;2023-10-09;2.38;Terminée;TECH-001;Poitiers;701.2;10.0
INT-000120;CLI-092806;Dépannage réseau;2022-07-01;3.43;Terminée;TECH-027;Vivonne;335.17;5.9
INT-000121;CLI-100799;Contrôle technique;2024-10-01;2.59;En cours;TECH-034;Poitiers;327.09;8.4
INT-000122;CLI-098521;Maintenance préventive;2024-06-20;0.85;En cours;TECH-013;Poitiers;739.16;9.7
INT-000123;CLI-092739;Modification puissance;2023-02-19;0.3;Terminée;TECH-033;Jaunay-Marigny;475.73;9.1
INT-000124;CLI-088495;Mise en service;2024-03-23;1.36;Terminée;TECH-031;Châtellerault;281.11;5.9
INT-000125;CLI-096909;Changement compteur;2022-03-27;1.41;Annulée;TECH-027;Châtellerault;523.29;4.4
INT-000126;CLI-092595;Contrôle technique;2022-04-10;2.53;Terminée;TECH-040;Poitiers;287.13;5.7
INT-000127;CLI-086332;Changement compteur;2023-10-05;1.15;Planifiée;TECH-011;Poitiers;767.12;8.9
INT-000128;CLI-099692;Relève compteur;2025-04-28;1.24;Terminée;TECH-042;Poitiers;386.11;7.9
INT-000129;CLI-090879;Raccordement neuf;2025-02-13;6.0;Terminée;TECH-019;Châtellerault;83.04;7.0
INT-000130;CLI-096196;Dépannage réseau;2023-09-12;3.39;Terminée;TECH-019;Poitiers;189.83;6.5
INT-000131;CLI-098341;Raccordement neuf;2024-03-30;3.34;Terminée;TECH-037;Poitiers;682.95;7.3
INT-000132;CLI-091963;Relève compteur;2022-06-01;0.43;Terminée;TECH-015;Poitiers;663.73;7.9
INT-000133;CLI-088177;Contrôle technique;2022-05-12;1.65;Terminée;TECH-002;Mignaloux-Beauvoir;388.38;8.2
INT-000134;CLI-090997;Relève compteur;2025-02-19;0.56;En cours;TECH-019;Poitiers;330.22;6.2
INT-000135;CLI-098173;Dépannage réseau;2024-11-03;1.04;Terminée;TECH-014;Châtellerault;758.38;10.0
INT-000136;CLI-100846;Mise en service;2022-09-10;1.26;Terminée;TECH-017;Châtellerault;610.55;7.0
INT-000137;CLI-098790;Maintenance préventive;2023-01-27;0.39;Terminée;TECH-010;Poitiers;31.65;9.9
INT-000138;CLI-100582;Contrôle technique;2025-04-01;1.07;Terminée;TECH-003;Montmorillon;197.32;8.8
INT-000139;CLI-097404;Relève compteur;2024-10-29;0.28;Terminée;TECH-040;Poitiers;628.65;8.9
INT-000140;CLI-092546;Contrôle technique;2023-05-21;1.65;Terminée;TECH-041;Châtellerault;205.31;8.5
INT-000141;CLI-088103;Dépannage réseau;2023-03-29;5.15;Terminée;TECH-015;Neuville-de-Poitou;690.68;9.5
INT-000142;CLI-091105;Mise en service;2024-09-10;1.46;En cours;TECH-018;Châtellerault;124.54;9.8
INT-000143;CLI-099189;Contrôle technique;2023-11-25;2.02;Terminée;TECH-010;Civray;552.64;5.9
INT-000144;CLI-100137;Changement compteur;2025-02-20;1.26;Terminée;TECH-023;Montmorillon;248.74;5.5
INT-000145;CLI-086009;Relève compteur;2023-06-30;0.83;Planifiée;TECH-016;Châtellerault;700.9;7.6
INT-000146;CLI-087303;Relève compteur;2025-04-10;0.52;Terminée;TECH-039;Migné-Auxances;754.11;8.9
INT-000147;CLI-100452;Coupure impayé;2023-05-03;2.83;Terminée;TECH-019;Chauvigny;411.56;8.1
INT-000148;CLI-097191;Dépannage réseau;2023-07-01;5.36;Terminée;TECH-030;Châtellerault;71.6;6.3
INT-000149;CLI-100558;Dépannage réseau;2022-10-22;3.22;Planifiée;TECH-011;Poitiers;185.5;7.8
INT-000150;CLI-089686;Maintenance préventive;2024-08-18;1.16;Terminée;TECH-020;Mignaloux-Beauvoir;794.42;5.3
INT-000151;CLI-094351;Rétablissement;2022-08-30;0.84;Terminée;TECH-027;Poitiers;754.55;8.1
INT-000152;CLI-093606;Mise en service;2024-06-05;1.07;Terminée;TECH-033;Montmorillon;168.32;5.0
INT-000153;CLI-088905;Relève compteur;2024-03-26;0.36;Annulée;TECH-013;Poitiers;440.15;5.8
INT-000154;CLI-097298;Dépannage réseau;2022-03-12;1.06;Terminée;TECH-038;Chasseneuil-du-Poitou;332.96;6.5
INT-000155;CLI-087406;Mise en service;2022-05-28;0.9;Terminée;TECH-010;Poitiers;176.81;8.0
INT-000156;CLI-099318;Dépannage réseau;2022-05-22;5.33;En cours;TECH-020;Châtellerault;278.89;4.3
INT-000157;CLI-098026;Mise en service;2024-04-23;1.05;Planifiée;TECH-005;Poitiers;237.43;9.2
INT-000158;CLI-093469;Mise en service;2024-10-30;0.74;Terminée;TECH-022;Poitiers;786.61;7.3
INT-000159;CLI-088718;Dépannage réseau;2025-01-26;4.03;Terminée;TECH-037;Poitiers;337.0;5.8
INT-000160;CLI-088072;Dépannage réseau;2025-03-19;5.96;Terminée;TECH-029;Poitiers;246.83;6.2
INT-000161;CLI-099448;Dépannage réseau;2023-05-16;2.54;Terminée;TECH-036;Lusignan;521.98;8.3
INT-000162;CLI-089918;Dépannage réseau;2024-05-25;4.75;Terminée;TECH-036;Châtellerault;559.52;7.9
INT-000163;CLI-095072;Contrôle technique;2022-04-10;0.85;Terminée;TECH-030;Loudun;603.56;6.6
INT-000164;CLI-086385;Contrôle technique;2025-05-28;2.5;Terminée;TECH-034;Buxerolles;48.8;4.2
INT-000165;CLI-093395;Mise en service;2022-12-24;0.34;Planifiée;TECH-021;Châtellerault;472.0;8.8
INT-000166;CLI-092542;Coupure impayé;2024-03-22;2.62;Terminée;TECH-040;Poitiers;148.18;5.1
INT-000167;CLI-099238;Changement compteur;2024-10-06;1.17;Terminée;TECH-013;Châtellerault;81.91;6.9
INT-000168;CLI-097754;Contrôle technique;2025-01-08;2.35;Planifiée;TECH-044;Poitiers;683.42;7.7
INT-000169;CLI-086119;Mise en service;2023-03-13;0.49;Terminée;TECH-005;Châtellerault;565.26;8.1
INT-000170;CLI-095123;Changement compteur;2022-04-09;1.09;Terminée;TECH-013;Châtellerault;753.18;10.0
INT-000171;CLI-097342;Maintenance préventive;2023-03-05;2.16;Terminée;TECH-022;Neuville-de-Poitou;784.09;5.2
INT-000172;CLI-094640;Relève compteur;2024-03-20;0.68;Terminée;TECH-029;Châtellerault;123.97;6.0
INT-000173;CLI-097792;Changement compteur;2025-04-11;1.67;Terminée;TECH-037;Châtellerault;208.52;9.1
INT-000174;CLI-094643;Raccordement neuf;2025-03-20;4.08;Terminée;TECH-006;Poitiers;321.18;4.9
INT-000175;CLI-091903;Mise en service;2024-12-31;1.08;Terminée;TECH-014;Chauvigny;663.11;4.4
INT-000176;CLI-095009;Coupure impayé;2024-01-16;1.73;Terminée;TECH-013;Poitiers;664.86;10.0
INT-000177;CLI-096907;Dépannage réseau;2023-12-02;1.57;Terminée;TECH-028;Poitiers;372.06;5.1
INT-000178;CLI-093535;Mise en service;2025-01-29;1.33;Terminée;TECH-034;Poitiers;607.98;10.0
INT-000179;CLI-100027;Rétablissement;2022-07-26;0.36;Planifiée;TECH-018;Loudun;619.67;9.1
INT-000180;CLI-100011;Mise en service;2024-02-17;1.26;Terminée;TECH-037;Poitiers;348.14;4.7
INT-000181;CLI-097471;Modification puissance;2022-12-05;0.72;Terminée;TECH-007;Migné-Auxances;732.8;9.5
INT-000182;CLI-094837;Raccordement neuf;2022-07-08;1.92;Annulée;TECH-030;Châtellerault;503.87;5.4
INT-000183;CLI-096139;Maintenance préventive;2024-09-12;0.82;Terminée;TECH-020;Poitiers;710.45;8.0
INT-000184;CLI-093974;Contrôle technique;2025-04-19;1.85;Terminée;TECH-027;Poitiers;761.02;6.0
INT-000185;CLI-097295;Rétablissement;2024-07-31;1.04;Terminée;TECH-019;Poitiers;712.68;6.1
INT-000186;CLI-086503;Relève compteur;2023-07-10;1.32;Terminée;TECH-042;Châtellerault;299.06;10.0
INT-000187;CLI-088008;Relève compteur;2024-08-28;0.55;Terminée;TECH-008;Buxerolles;647.43;2.9
INT-000188;CLI-097641;Mise en service;2022-02-16;0.97;Terminée;TECH-003;Chauvigny;78.14;10.0
INT-000189;CLI-096137;Dépannage réseau;2023-01-18;2.14;Planifiée;TECH-043;Châtellerault;341.66;7.6
INT-000190;CLI-099139;Relève compteur;2023-08-25;0.76;Terminée;TECH-031;Poitiers;430.78;8.9
INT-000191;CLI-086793;Mise en service;2024-08-12;0.82;Terminée;TECH-001;Neuville-de-Poitou;143.35;7.9
INT-000192;CLI-096256;Changement compteur;2023-03-09;0.83;Terminée;TECH-026;Loudun;384.35;7.7
INT-000193;CLI-100450;Mise en service;2023-05-25;0.63;Terminée;TECH-040;Poitiers;253.94;9.6
INT-000194;CLI-093889;Relève compteur;2024-02-23;0.83;Terminée;TECH-013;Châtellerault;458.18;6.6
INT-000195;CLI-086723;Mise en service;2022-09-04;0.7;Planifiée;TECH-027;Chauvigny;407.84;4.4
INT-000196;CLI-097554;Dépannage réseau;2024-03-18;1.12;Terminée;TECH-024;Poitiers;748.0;9.5
INT-000197;CLI-093279;Dépannage réseau;2022-03-02;3.29;Terminée;TECH-023;Poitiers;66.94;8.4
INT-000198;CLI-094274;Contrôle technique;2022-06-06;0.38;Annulée;TECH-038;Saint-Benoît;563.41;7.8
INT-000199;CLI-097198;Mise en service;2023-01-04;1.08;Terminée;TECH-001;Poitiers;651.74;7.7
INT-000200;CLI-090897;Mise en service;2024-06-24;1.44;Terminée;TECH-024;Poitiers;365.77;8.0
INT-000201;CLI-086464;Contrôle technique;2024-01-01;1.95;Terminée;TECH-036;Mignaloux-Beauvoir;331.05;8.6
INT-000202;CLI-093334;Mise en service;2023-02-12;0.65;Terminée;TECH-030;Poitiers;317.59;9.4
INT-000203;CLI-094963;Coupure impayé;2023-06-22;0.78;En cours;TECH-025;Vivonne;409.64;6.2
INT-000204;CLI-090910;Mise en service;2023-10-16;0.3;Terminée;TECH-031;Poitiers;515.47;9.0
INT-000205;CLI-089396;Changement compteur;2023-11-14;0.94;Annulée;TECH-043;Châtellerault;518.22;4.2
INT-000206;CLI-098128;Dépannage réseau;2023-10-21;4.42;En cours;TECH-013;Chauvigny;595.7;6.1
INT-000207;CLI-099191;Dépannage réseau;2022-11-11;2.13;Terminée;TECH-011;Poitiers;352.16;6.9
INT-000208;CLI-100460;Mise en service;2023-02-12;1.09;Annulée;TECH-016;Poitiers;210.46;4.3
INT-000209;CLI-090106;Mise en service;2022-05-25;1.07;Planifiée;TECH-039;Poitiers;229.71;6.5
INT-000210;CLI-098972;Coupure impayé;2023-01-11;1.02;Terminée;TECH-012;Montmorillon;107.15;5.9
INT-000211;CLI-086849;Rétablissement;2023-04-14;2.06;Terminée;TECH-017;Poitiers;398.78;7.5
INT-000212;CLI-089490;Contrôle technique;2024-02-29;2.37;Terminée;TECH-023;Buxerolles;490.05;6.2
INT-000213;CLI-099405;Relève compteur;2024-03-01;1.39;Terminée;TECH-027;Poitiers;586.69;6.5
INT-000214;CLI-092663;Mise en service;2024-11-24;1.47;Terminée;TECH-026;Poitiers;298.8;7.7
INT-000215;CLI-093210;Changement compteur;2024-05-09;1.62;Terminée;TECH-019;Châtellerault;58.31;5.2
INT-000216;CLI-095589;Modification puissance;2024-05-11;1.28;Terminée;TECH-023;Poitiers;561.31;5.4
INT-000217;CLI-094908;Mise en service;2023-12-22;0.73;Terminée;TECH-022;Châtellerault;382.0;7.1
INT-000218;CLI-097635;Relève compteur;2024-12-27;1.18;Terminée;TECH-044;Neuville-de-Poitou;736.36;5.0
INT-000219;CLI-096112;Raccordement neuf;2024-06-27;2.34;Annulée;TECH-017;Châtellerault;767.75;7.3
INT-000220;CLI-091896;Raccordement neuf;2023-07-09;1.45;Annulée;TECH-027;Poitiers;587.35;9.6
INT-000221;CLI-092235;Relève compteur;2024-04-21;0.93;Terminée;TECH-004;Poitiers;123.36;10.0
INT-000222;CLI-090824;Relève compteur;2024-02-20;0.86;Terminée;TECH-018;Châtellerault;189.23;7.3
INT-000223;CLI-099469;Rétablissement;2024-03-17;1.06;Terminée;TECH-001;Chasseneuil-du-Poitou;532.35;10.0
INT-000224;CLI-094177;Mise en service;2025-02-27;0.68;Planifiée;TECH-018;Loudun;725.77;9.2
INT-000225;CLI-097404;Relève compteur;2022-11-30;1.23;Terminée;TECH-036;Poitiers;122.81;6.6
INT-000226;CLI-090594;Dépannage réseau;2023-01-14;5.6;Annulée;TECH-017;Poitiers;661.02;6.1
INT-000227;CLI-100567;Dépannage réseau;2024-11-20;4.58;Terminée;TECH-014;Saint-Benoît;786.25;5.3
INT-000228;CLI-097333;Dépannage réseau;2025-01-02;1.62;Terminée;TECH-027;Poitiers;293.35;5.2
INT-000229;CLI-092765;Maintenance préventive;2023-10-05;2.87;En cours;TECH-027;Poitiers;218.44;7.3
INT-000230;CLI-096466;Relève compteur;2023-08-09;1.44;Terminée;TECH-013;Mignaloux-Beauvoir;693.77;9.7
INT-000231;CLI-095137;Relève compteur;2023-12-09;1.4;Terminée;TECH-021;Poitiers;321.23;7.1
INT-000232;CLI-095844;Mise en service;2024-07-16;0.98;Annulée;TECH-043;Jaunay-Marigny;169.29;10.0
INT-000233;CLI-095243;Changement compteur;2024-05-24;1.88;Planifiée;TECH-029;Poitiers;381.78;8.9
INT-000234;CLI-092404;Contrôle technique;2025-04-09;0.66;Terminée;TECH-003;Migné-Auxances;626.68;7.8
INT-000235;CLI-095615;Dépannage réseau;2024-04-11;4.64;Terminée;TECH-026;Poitiers;332.65;6.4
INT-000236;CLI-086465;Rétablissement;2025-02-22;0.47;Terminée;TECH-012;Poitiers;766.18;6.8
INT-000237;CLI-094176;Mise en service;2024-03-15;1.41;Planifiée;TECH-002;Poitiers;594.14;9.1
INT-000238;CLI-098531;Dépannage réseau;2022-11-07;5.12;Planifiée;TECH-014;Poitiers;324.33;6.9
INT-000239;CLI-087816;Contrôle technique;2022-02-03;2.3;Terminée;TECH-008;Lusignan;146.31;7.8
